keyword,category,industry,source_sheets,search_intent,funnel_stage,primary_or_secondary,target_url,target_page_type,content_type,cluster,seasonality,priority,cannibalization_risk,status,reason
company joining kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
corporate gift hampers,All,All,SEO Keywords,commercial investigation,middle,secondary,/occasions/festive-corporate-gifting,seasonal-landing,landing page copy,occasions,seasonal,2,none,targeted,Declared secondary keyword of /occasions/festive-corporate-gifting.
corporate gift ideas for clients,All,All,SEO Keywords,informational,top,primary,/guides/client-gifting-guide,guide,buying guide,guides,evergreen,1,none,targeted,Declared primary keyword of /guides/client-gifting-guide.
corporate gift ideas for employees,All,All,SEO Keywords,informational,top,primary,/guides/corporate-gifting-guide,guide,buying guide,guides,evergreen,1,none,targeted,Declared primary keyword of /guides/corporate-gifting-guide.
corporate gift manufacturer India,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gift supplier,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifting India,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifting company,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifting solutions,All,All,SEO Keywords,commercial investigation,middle,secondary,/guides/corporate-gifting-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/corporate-gifting-guide.
corporate gifts India,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifts for annual events,All,All,SEO Keywords,event gifting,bottom,supporting,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/events-conferences.
corporate gifts for clients,All,All,SEO Keywords,commercial investigation,bottom,primary,/gifting/client-appreciation,use-case-landing,landing page copy,gifting,evergreen,1,none,targeted,Declared primary keyword of /gifting/client-appreciation.
corporate gifts for conferences,All,All,SEO Keywords,event gifting,bottom,primary,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,1,none,targeted,Declared primary keyword of /gifting/events-conferences.
corporate gifts for employees,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifts for events,All,All,SEO Keywords,event gifting,bottom,supporting,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/events-conferences.
corporate gifts for executives,All,All,SEO Keywords,executive gifting,bottom,primary,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,1,none,targeted,Declared primary keyword of /gifting/executive-leadership.
corporate gifts for leadership,All,All,SEO Keywords,executive gifting,bottom,secondary,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/executive-leadership.
corporate gifts for new employees,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifts for seminars,All,All,SEO Keywords,event gifting,bottom,supporting,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/events-conferences.
corporate gifts for staff,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifts for teams,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifts online India,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifts wholesale,All,All,SEO Keywords,bulk purchase,bottom,secondary,/gifting/bulk-corporate-gifting,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/bulk-corporate-gifting.
corporate induction kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
corporate joining kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/categories/joining-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/joining-gifts.
corporate onboarding kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-onboarding.
custom corporate gifts,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
customized corporate gifts India,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
employee appreciation gifts,All,All,SEO Keywords,commercial investigation,bottom,primary,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,1,none,targeted,Declared primary keyword of /gifting/employee-appreciation.
employee engagement gifts,All,All,SEO Keywords,commercial investigation,middle,secondary,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-appreciation.
employee induction kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/categories/joining-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/joining-gifts.
employee joining kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
employee joining kit India,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
employee onboarding gifts,All,All,SEO Keywords,employee gifting,bottom,primary,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,1,none,targeted,Declared primary keyword of /gifting/employee-onboarding.
employee onboarding kit,All,All,SEO Keywords,employee gifting,bottom,primary,/products/executive-onboarding-essentials-set,product,landing page copy,products,evergreen,1,none,targeted,Declared primary keyword of /products/executive-onboarding-essentials-set.
employee onboarding kit India,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
employee recognition gifts,All,All,SEO Keywords,commercial investigation,middle,secondary,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-appreciation.
employee starter kit,All,All,SEO Keywords,product-specific,bottom,secondary,/categories/joining-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/joining-gifts.
employee welcome gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
employee welcome kit,All,All,SEO Keywords,employee gifting,bottom,primary,/categories/joining-gifts,category,landing page copy,categories,evergreen,1,none,targeted,Declared primary keyword of /categories/joining-gifts.
festival corporate gifts India,All,All,SEO Keywords,seasonal,bottom,secondary,/occasions/diwali-corporate-gifts,seasonal-landing,landing page copy,occasions,seasonal,2,none,targeted,Declared secondary keyword of /occasions/diwali-corporate-gifts.
festive corporate gifting,All,All,SEO Keywords,seasonal,bottom,primary,/occasions/festive-corporate-gifting,seasonal-landing,landing page copy,occasions,seasonal,1,none,targeted,Declared primary keyword of /occasions/festive-corporate-gifting.
luxury corporate gifting,All,All,SEO Keywords,commercial investigation,middle,supporting,/categories/luxury-gifts,category,category page copy,luxury-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/luxury-gifts.
new hire kit India,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
new hire welcome kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/products/executive-onboarding-essentials-set,product,landing page copy,products,evergreen,2,none,targeted,Declared secondary keyword of /products/executive-onboarding-essentials-set.
new joinee kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/categories/joining-gifts,category,landing page copy,categories,evergreen,2,none,targeted,Declared secondary keyword of /categories/joining-gifts.
new joinee welcome kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
office gifting ideas,All,All,SEO Keywords,informational,top,secondary,/guides/corporate-gifting-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/corporate-gifting-guide.
office joining kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
personalized corporate gifts,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
premium corporate gifting,All,All,SEO Keywords,commercial investigation,middle,supporting,/categories/premium-gifts,category,category page copy,premium-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/premium-gifts.
sustainable corporate gifting,All,All,SEO Keywords,sustainability,middle,secondary,/guides/eco-friendly-corporate-gifting,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/eco-friendly-corporate-gifting.
welcome kit for employees,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
work from office welcome kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
workplace welcome kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
auto company welcome kit,All,Automotive,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Automotive has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
automotive client gifts,All,Automotive,SEO Keywords,client gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
automotive corporate gifts,All,Automotive,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
automotive employee gifts,All,Automotive,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
automotive joining kit,All,Automotive,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
automotive onboarding kit,All,Automotive,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
automotive team gifts,All,Automotive,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
BFSI corporate gifts,All,BFSI / Insurance,SEO Keywords,industry-specific,bottom,primary,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/bfsi-banking-insurance.
BFSI employee welcome kit,All,BFSI / Insurance,SEO Keywords,employee gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the BFSI / Insurance content on /industries/bfsi-banking-insurance.
financial services corporate gifts,All,BFSI / Insurance,SEO Keywords,industry-specific,middle,secondary,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/bfsi-banking-insurance.
insurance client gifts,All,BFSI / Insurance,SEO Keywords,client gifting,bottom,secondary,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/bfsi-banking-insurance.
insurance employee gifts,All,BFSI / Insurance,SEO Keywords,industry-specific,middle,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the BFSI / Insurance content on /industries/bfsi-banking-insurance.
insurance joining kit,All,BFSI / Insurance,SEO Keywords,employee gifting,bottom,secondary,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/bfsi-banking-insurance.
insurance onboarding kit,All,BFSI / Insurance,SEO Keywords,employee gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the BFSI / Insurance content on /industries/bfsi-banking-insurance.
bank client gifts,All,Banking,SEO Keywords,client gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Banking content on /industries/bfsi-banking-insurance.
bank employee gifts,All,Banking,SEO Keywords,industry-specific,middle,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Banking content on /industries/bfsi-banking-insurance.
bank employee welcome kit,All,Banking,SEO Keywords,employee gifting,bottom,secondary,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/bfsi-banking-insurance.
bank joining kit,All,Banking,SEO Keywords,employee gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Banking content on /industries/bfsi-banking-insurance.
banking corporate gifts,All,Banking,SEO Keywords,industry-specific,middle,secondary,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/bfsi-banking-insurance.
banking executive gifts,All,Banking,SEO Keywords,executive gifting,bottom,secondary,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/bfsi-banking-insurance.
banking onboarding kit,All,Banking,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
coaching company gifts,All,Coaching / EdTech,SEO Keywords,industry-specific,middle,supporting,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Coaching / EdTech content on /industries/education-edtech.
coaching team gifts,All,Coaching / EdTech,SEO Keywords,industry-specific,middle,supporting,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Coaching / EdTech content on /industries/education-edtech.
edtech corporate gifts,All,Coaching / EdTech,SEO Keywords,industry-specific,middle,secondary,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/education-edtech.
edtech employee welcome kit,All,Coaching / EdTech,SEO Keywords,employee gifting,bottom,secondary,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/education-edtech.
edtech joining kit,All,Coaching / EdTech,SEO Keywords,employee gifting,bottom,supporting,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Coaching / EdTech content on /industries/education-edtech.
edtech onboarding kit,All,Coaching / EdTech,SEO Keywords,employee gifting,bottom,supporting,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Coaching / EdTech content on /industries/education-edtech.
education startup gifts,All,Coaching / EdTech,SEO Keywords,industry-specific,middle,supporting,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Coaching / EdTech content on /industries/education-edtech.
construction client gifts,All,Construction / Infrastructure,SEO Keywords,client gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Construction / Infrastructure has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
construction corporate gifts,All,Construction / Infrastructure,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Construction / Infrastructure has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
construction employee gifts,All,Construction / Infrastructure,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Construction / Infrastructure has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
construction joining kit,All,Construction / Infrastructure,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Construction / Infrastructure has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
construction onboarding kit,All,Construction / Infrastructure,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Construction / Infrastructure has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
infrastructure employee welcome kit,All,Construction / Infrastructure,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Construction / Infrastructure has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
project team gifts,All,Construction / Infrastructure,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Construction / Infrastructure has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
consulting client gifts,All,Consulting,SEO Keywords,client gifting,bottom,secondary,/industries/consulting,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/consulting.
consulting corporate gifts,All,Consulting,SEO Keywords,industry-specific,bottom,primary,/industries/consulting,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/consulting.
consulting employee welcome kit,All,Consulting,SEO Keywords,employee gifting,bottom,secondary,/industries/consulting,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/consulting.
consulting joining kit,All,Consulting,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
consulting onboarding kit,All,Consulting,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
consulting team gifts,All,Consulting,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
executive consulting gifts,All,Consulting,SEO Keywords,executive gifting,bottom,secondary,/industries/consulting,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/consulting.
coworking client gifts,All,Coworking,SEO Keywords,client gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
coworking corporate gifts,All,Coworking,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
coworking member welcome kit,All,Coworking,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
coworking onboarding gifts,All,Coworking,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
coworking welcome kit,All,Coworking,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
office welcome kits,All,Coworking,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Coworking has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
workspace corporate gifts,All,Coworking,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Coworking has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
ecommerce client gifts,All,E-commerce,SEO Keywords,client gifting,bottom,secondary,/industries/ecommerce-retail,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/ecommerce-retail.
